,United States,Saudi Arabia,United Kingdom,United Arab Emirates,Canada,France,Australia,Spain,Italy,India,Thailand,Pakistan,South Africa,Jordan,Turkey,Kuwait,Singapore,Malaysia,Switzerland,Argentina,Japan,Israel,Lebanon,Netherlands,Oman,Qatar,Sweden,Austria,Bangladesh,Belgium,Greece,Nigeria,Mexico,Kenya,Ethiopia,New Zealand,China,Syrian Arab Republic,Portugal,Libya,Uganda,Ireland,Norway,Brazil,Burkina Faso,Bahrain,Poland,Denmark,Nepal,Chad
1960,10825599.0,63389.0,1661888.0,2194.0,2766304.0,3507213.0,1698085.0,210897.0,459553.0,9410535.0,484839.0,6350296.0,927656.0,385789.0,947635.0,90629.0,519246.0,56895.0,714235.0,2601188.0,692651.0,1185573.0,151443.0,446620.0,43656.0,14400.0,295618.0,806643.0,661411.0,441555.0,52495.0,94133.0,223245.0,59330.0,393260.0,333859.0,245684.0,276050.0,38899.0,48210.0,771730.0,73019.0,61591.0,1397119.0,62943.0,26733.0,2424881.0,93989.0,337636.0,55072.0
1965,11354439.0,155823.0,2541943.0,25981.0,3020552.0,4447230.0,2054727.0,272201.0,629595.0,9350557.0,409954.0,5698452.0,945162.0,453521.0,926865.0,240583.0,525047.0,204679.0,887150.0,2409183.0,712854.0,1291182.0,174368.0,341683.0,52362.0,34091.0,393687.0,744995.0,685166.0,606859.0,68707.0,121891.0,205886.0,101581.0,383551.0,386145.0,260479.0,319431.0,62876.0,56320.0,907723.0,94397.0,69216.0,1314922.0,74981.0,38357.0,2249668.0,99954.0,344550.0,57896.0
1970,11973787.0,356996.0,2945896.0,65827.0,3251353.0,5210336.0,2456522.0,355727.0,862556.0,9181520.0,347394.0,5105556.0,961496.0,531617.0,376394.0,463366.0,530873.0,736323.0,1091990.0,2219411.0,725139.0,1408744.0,190842.0,261402.0,62804.0,68339.0,527153.0,676679.0,726989.0,695361.0,89572.0,157835.0,195369.0,159044.0,394582.0,409446.0,280404.0,367760.0,101633.0,122167.0,948875.0,130411.0,78507.0,1231834.0,89322.0,37946.0,2088027.0,117442.0,345489.0,60865.0
1975,13991349.0,928827.0,3147977.0,312400.0,3517845.0,5571664.0,2659453.0,465542.0,1006374.0,9011238.0,344715.0,4574348.0,962371.0,675638.0,144529.0,664156.0,529006.0,717901.0,1089203.0,2064199.0,770342.0,1446242.0,208567.0,343752.0,75328.0,119182.0,578054.0,721037.0,768579.0,820201.0,123472.0,704377.0,230346.0,160512.0,392082.0,492857.0,298474.0,429290.0,164280.0,223398.0,774582.0,171429.0,98597.0,1170533.0,106405.0,60092.0,1807979.0,138684.0,299373.0,63986.0
1980,16364410.0,1920478.0,3356904.0,718479.0,3810578.0,5890633.0,2896444.0,609354.0,1108852.0,8845466.0,479387.0,5012524.0,983303.0,810326.0,784193.0,966341.0,527453.0,789130.0,1065788.0,1920798.0,802422.0,1430985.0,241367.0,490976.0,146043.0,165426.0,624824.0,719958.0,804526.0,896823.0,171755.0,1314845.0,294258.0,159892.0,404192.0,470394.0,311194.0,497764.0,265543.0,310558.0,676609.0,223238.0,123248.0,1112834.0,170487.0,103466.0,1544789.0,163769.0,251180.0,67267.0
1985,19491741.0,3401020.0,3535927.0,1007837.0,3900558.0,5952820.0,3143480.0,716881.0,1252814.0,8131017.0,406658.0,6288210.0,1808198.0,942798.0,933014.0,1240806.0,619330.0,908395.0,1203202.0,1780443.0,850775.0,1522681.0,347773.0,761421.0,282251.0,281907.0,654158.0,728326.0,842155.0,871821.0,309261.0,347909.0,479104.0,151664.0,583658.0,480043.0,323937.0,627729.0,346232.0,413947.0,633291.0,225285.0,147660.0,944562.0,273256.0,137052.0,1319912.0,195793.0,313922.0,70716.0
1990,23251026.0,4998445.0,3650286.0,1306574.0,4333318.0,5897267.0,3955213.0,821605.0,1428219.0,7493204.0,528693.0,6208204.0,1163883.0,1146349.0,1163686.0,1074391.0,727262.0,695920.0,1392282.0,1649919.0,1075626.0,1632704.0,523693.0,1182263.0,304000.0,309753.0,788767.0,793239.0,881617.0,891537.0,618139.0,456621.0,695674.0,297292.0,1155390.0,518047.0,376361.0,714140.0,435782.0,457075.0,558307.0,227961.0,192587.0,798517.0,349657.0,173212.0,1127771.0,235189.0,429974.0,74342.0
1995,28451053.0,5122702.0,4155293.0,1824118.0,4864778.0,6087993.0,4153330.0,1020067.0,1774954.0,6952238.0,809720.0,3669308.0,1003807.0,1537097.0,1216173.0,921954.0,991492.0,937368.0,1478829.0,1595069.0,1381097.0,1792185.0,608303.0,1346164.0,539643.0,361673.0,936022.0,894893.0,934735.0,885278.0,857850.0,462999.0,458549.0,618745.0,806904.0,588617.0,442198.0,830610.0,532822.0,508041.0,634620.0,226892.0,233302.0,741557.0,434848.0,205979.0,964725.0,303108.0,690225.0,89584.0
2000,34814053.0,5263387.0,4730165.0,2446675.0,5511914.0,6278718.0,4386250.0,1657285.0,2121688.0,6411272.0,1257821.0,4181912.0,1001825.0,1927845.0,1280963.0,1127640.0,1351691.0,1277223.0,1570756.0,1540219.0,1686567.0,1851309.0,692913.0,1556337.0,623608.0,359697.0,1003798.0,996547.0,987853.0,853369.0,1111665.0,487882.0,538051.0,699139.0,611384.0,678813.0,508034.0,832273.0,651472.0,567436.0,634703.0,350552.0,292440.0,684596.0,520039.0,239361.0,825251.0,371026.0,717900.0,104825.0
2005,39258293.0,6501819.0,5926156.0,3281036.0,6078985.0,6737600.0,4878030.0,4107226.0,3954790.0,5923642.0,2163447.0,3171132.0,1210936.0,2325414.0,1319236.0,1333327.0,1710594.0,1722344.0,1805437.0,1673088.0,2012916.0,1889503.0,756784.0,1736127.0,666160.0,646026.0,1125790.0,1136270.0,1166700.0,870862.0,1190707.0,648019.0,712487.0,756894.0,514242.0,839952.0,678947.0,876410.0,771184.0,625212.0,652968.0,589046.0,361144.0,638582.0,596972.0,404018.0,722509.0,440383.0,679457.0,352062.0
2010,44183643.0,8429956.0,7604583.0,7316611.0,7011226.0,7196481.0,5882980.0,6280065.0,5787893.0,5436012.0,3224131.0,3941586.0,1943099.0,2722983.0,1367034.0,1871537.0,2164794.0,2406011.0,2075182.0,1805957.0,2134151.0,1950615.0,820655.0,1832510.0,816221.0,1456413.0,1384929.0,1275992.0,1345546.0,1052844.0,1269749.0,920118.0,969538.0,926959.0,567720.0,947443.0,849861.0,1661922.0,762825.0,683998.0,529160.0,730542.0,526799.0,592568.0,673904.0,657856.0,642417.0,509740.0,578657.0,416924.0
2015,46627102.0,10185945.0,8543120.0,8095126.0,7835502.0,7784418.0,6763663.0,5852953.0,5788875.0,5240960.0,3913258.0,3628956.0,3142511.0,3112026.0,2964916.0,2866136.0,2543638.0,2514243.0,2438702.0,2086302.0,2043877.0,2011727.0,1997776.0,1979486.0,1844978.0,1687640.0,1639771.0,1492374.0,1422805.0,1387940.0,1242514.0,1199115.0,1193155.0,1084357.0,1072949.0,1039736.0,978046.0,875189.0,837257.0,771146.0,749471.0,746260.0,741813.0,713568.0,704676.0,704137.0,619403.0,572520.0,518278.0,516968.0
